Id,Governate,Area Name,ATM Name,Latitude,Longitude,Description
c1355ce7-5be7-43c8-a348-28f24b83ec5a,Al-Behera,Kafr Al-Dawar,Itay Albaroud City Council,31.139199,30.121385,Withdrawal
ddc0417f-2421-4482-90d5-91990dad9c9b,Al-Behera,Kafr Al-Dawar,Kafr Aldawar Central Hospital 2,31.139143,30.12155,Withdrawal
4e0cbfe2-67f0-4685-aee4-7070a3160323,Al-Behera,Kafr Al-Dawar,Kafr Aldawar City Council,31.135432,30.129149,Withdrawal
07b2c2b2-579d-4595-b230-d95278185b87,Al-Behera,Kafr Al-Dawar, Nasser Agency North Tahrir,30.997523,30.136301,Withdrawal - Deposit - Currency Exchange
03e4411b-6d46-4974-8c3d-2106e338ca4e,Al-Behera,Koum Hamada,Koum Hamada,30.763683,30.704811,Withdrawal - Deposit - Currency Exchange
dd96a202-7040-4a3f-80cd-f2ed7a88ecfd,Al-Behera,Koum Hamada,Koum Hamada,30.7637539,30.69974764,Withdrawal - Deposit - Currency Exchange
939f688d-68f1-44a2-ae24-1ec8f07fc930,Al-Behera,Koum Hamada,Koum Hamada,30.760111,30.694501,Withdrawal
cfb88dc8-2095-4434-b425-50d43238664d,Al-Behera,Koum Hamada,Koum Hamada,30.699037,30.668604,Withdrawal
ab0370f4-fc65-40f9-96d1-85a163304340,Al-Behera,Koum Hamada,Saft Alinab Local Unit,30.81082688,30.68590817,Withdrawal
24565c36-02c0-4880-b5f2-0ae5308798f6,Al-Behera,Koum Hamada,Waqed Village Local Unit,30.69531566,30.73931943,Withdrawal
8d60814c-5258-4b79-acdc-398300984400,Al-Behera,Koum Hamada,Koum Hamada City Council,30.760111,30.694501,Withdrawal
e3edd5b3-5a47-4cb0-ae2b-b67cde821a66,Al-Behera,Koum Hamada,Nubaria Power Station Khnaiza - Kom Hamada,30.699037,30.668604,Withdrawal
1697d7f0-756d-4c2f-b450-85e6c23b23cf,Al-Behera,Koum Hamada,Express Ahmed Orabi St. Koum hamada,30.763683,30.704811,Withdrawal - Deposit - Currency Exchange
fc3aaf8c-770f-4d4a-ae86-35b8a22f56d0,Al-Behera,Koum Hamada,The local unit of the village of Al-Najila,30.73383215,30.77503088,Withdrawal - Deposit
33c18676-f108-4c5c-997f-6e6ba7a83f99,Al-Behera,Markaz Badr,Markaz Badr,30.571713,30.711668,Withdrawal
f0770966-f1a3-4ba5-b8a9-9250ea5039c8,Al-Behera,Markaz Badr,Markaz Badr,30.57747,30.710336,Withdrawal
63c4cf83-793d-41a8-abfe-4a9ec8308502,Al-Behera,Markaz Badr,Markaz Badr,30.663293,30.566847,Withdrawal
b75c5caf-ed38-41cb-ab64-ca0e9bc4b7d1,Al-Behera,Markaz Badr,Markaz Badr,30.57726731,30.71009132,Withdrawal
6e1d1571-d586-4f51-a74a-6fd14a16cea0,Al-Behera,Markaz Badr,badr Altahrir  Educational Administration,30.571713,30.711668,Withdrawal
84baa456-8fa0-4a53-9902-f7b4658a4eaa,Al-Behera,Markaz Badr,Badr Altahrir Health Administration,30.57747,30.710336,Withdrawal
442da08a-3506-427e-b288-f0cacd40bf76,Al-Behera,Markaz Badr,Alnagah Local unit,30.663293,30.566847,Withdrawal
a0972b6d-48bb-429d-9a05-6cfc5c115ef4,Al-Behera,Markaz Badr,Etsalat - Almostaqbal Franchiez -Albehera,30.5761452,30.7090382,Withdrawal
929bf30d-f94e-4478-84d5-d33ed8760425,Al-Behera,Rashid,Rashid,31.40631062,30.4238614,Withdrawal - Deposit - Currency Exchange
5e9ecba9-3f9c-48af-a095-c510ab29348d,Al-Behera,Rashid,Rashid,31.40487,30.423086,Withdrawal
4aa70955-ee6b-4792-a8b7-3db629af42d4,Al-Behera,Rashid,Rashid,31.392898,30.414696,Withdrawal
9733f442-82b7-46c4-9915-dcb741cf25d6,Al-Behera,Rashid,Rashid,31.288168,30.513992,Withdrawal
b38ce7e3-da6c-411c-9d70-6b708ff64e8a,Al-Behera,Rashid,Rashid Main Hospital,31.40949916,30.42373416,Withdrawal
23c90f8d-0751-4b0e-89c8-d9d942d15c3e,Al-Behera,Rashid,Rashid Health Unit ,31.39517685,30.42186514,Withdrawal
89272f0a-ca1e-401a-8bdd-3ecab4de9a4e,Al-Behera,Rashid,Rashid City Council,31.40487,30.423086,Withdrawal
f179ccbc-3736-4e20-b3c5-45f0462e6fb2,Al-Behera,Rashid,Dr. Pasha Hospital,31.392898,30.414696,Withdrawal
4de5d176-e1ff-4328-8bd5-e400da5d6c87,Al-Behera,Rashid,Edfina Azharian Institute,31.288168,30.513992,Withdrawal
f3033d55-95f2-4183-a0dd-2e02a43c81a9,Al-Behera,Shabrakhiet,Shabrakhiet,31.024659,30.607641,Withdrawal
7104b2f0-7da5-45a3-9e8e-f65b6c2de8e5,Al-Behera,Shabrakhiet,Shabrakhiet,31.03052168,30.71357679,Withdrawal - Deposit - Currency Exchange
ac45b067-e19a-43a9-bd36-0859808ec258,Al-Behera,Shabrakhiet,Shabrakhiet,31.027977,30.711581,Withdrawal
815441be-850d-457e-bcf5-fbd18f3e49bb,Al-Behera,Shabrakhiet,Shabrakhiet,31.027458,30.704211,Withdrawal
8aca7417-5463-4cbc-8b5c-22c90631ebbf,Al-Behera,Shabrakhiet,Shoubrakhit City Council,31.027977,30.711581,Withdrawal
55038c5f-316e-41c4-acfb-a997811abd39,Al-Behera,Shabrakhiet,Laqana 0 Team Helmy Afifi Camp,31.024659,30.607641,Withdrawal
0b5cf6a9-7760-4a0e-8c1a-a58e57436849,Al-Behera,Shabrakhiet,Shabrakhit General Hospital,31.027458,30.704211,Withdrawal
0ab5483d-e334-4716-a45f-c7e7db1a2592,Al-Behera,Shabrakhiet,The local unit  of Mahalet Fernoy,30.98201643,30.6542905,Withdrawal - Deposit - Currency Exchange
fa382368-f104-45fc-ba7d-be212558c0f9,Al-Behera,Shabrakhiet,The local unit of the village of Laqana,31.02393382,30.60350721,Withdrawal - Deposit - Currency Exchange
94251151-6c27-409d-b6b6-2b4885731a1f,Al-Behera,Shabrakhiet,The local unit of mahalet Beshr,31.05305248,30.69924925,Withdrawal - Deposit - Currency Exchange
27a35491-1e5e-4361-8346-90a47fcd7037,Al-Behera,Shabrakhiet,Tanmiya Shabrakhit,31.02893672,30.71354872,Withdrawal - Deposit
2d6ba43c-8139-437d-bb0f-1c75bcac3849,Al-Behera,Wady Elnatroon,Wady El- Natroun,30.39891243,30.36785316,Withdrawal - Deposit - Currency Exchange
b47ce185-0a8d-46ce-a8e3-30cdc8c89ce6,Al-Behera,Wady Elnatroon,Wady Elnatroon,30.395427,30.37151,Withdrawal
b7b1880e-9204-466a-8b4c-1632e0b612df,Al-Behera,Wady Elnatroon,Wady Alnatroun Hospital,30.39499563,30.37081886,Withdrawal - Deposit - Currency Exchange
4ebf0495-3607-4431-8932-70bdd2b7bfbc,Al-Behera,Wady Elnatroon,Wadi Alnatrun City Council,30.395427,30.37151,Withdrawal
6b4deca5-e255-4d7c-9937-4237cd56651c,Al-Fayoum,Abshaway,Abshaway,29.370735,30.688374,Withdrawal
20f6c593-d6b6-4375-8193-c26ec62c4820,Al-Fayoum,Abshaway,Abshaway,29.36074053,30.68325785,Withdrawal - Deposit - Currency Exchange
9185917d-956f-4403-a167-b1f6ddc9fbfb,Al-Fayoum,Abshaway,Ibshaway Hospital,29.370735,30.688374,Withdrawal
6e71c0bd-c5f5-4217-92cf-27a1a1a0f13a,Al-Fayoum,Abshaway,Abu Kasah Local Unit,29.392268,30.711708,Withdrawal - Deposit - Currency Exchange
1b5186bb-a169-4782-b11b-960cf3cf55d3,Al-Fayoum,Al Fayoum,Al Fayoum,29.30441208,30.85354564,Withdrawal - Deposit - Currency Exchange
7b9ddea9-40e9-4d68-9544-0b2a63ca53ee,Al-Fayoum,Al Fayoum,Al Fayoum,29.319696,30.835641,Withdrawal
798e48ee-01f2-4c46-9c87-6a5ec53ab9c3,Al-Fayoum,Al Fayoum,Al Fayoum,29.308199,30.842229,Withdrawal
fde59aa6-ee42-4b6c-b98d-c794cd8e4b80,Al-Fayoum,Al Fayoum,Al Fayoum,29.30772267,30.84613982,Withdrawal
1b03eb6d-5269-48ce-a720-249a791e9e84,Al-Fayoum,Al Fayoum,Al Fayoum,29.31542035,30.85217852,Withdrawal
3fcdbbb9-d993-4c83-b018-c4dcf9d3030e,Al-Fayoum,Al Fayoum,Al Fayoum,29.321487,30.837896,Withdrawal
0ad0e956-ecb6-4833-bb92-3453a358ea46,Al-Fayoum,Al Fayoum,Al Fayoum,29.322145,30.837087,Withdrawal
86efbddb-cd41-4aa1-94cf-63b5d0096a2b,Al-Fayoum,Al Fayoum,Al Fayoum,29.308889,30.847499,Withdrawal
379c2557-1f7c-4cc6-a8a1-6b05e5a52721,Al-Fayoum,Al Fayoum,Al Fayoum,29.304818,30.84385,Withdrawal
2e38cfd9-ef3f-4dce-8eef-24254cce1b3c,Al-Fayoum,Al Fayoum,Al Fayoum,29.319011,30.851452,Withdrawal
27d78faa-efa7-43ad-9071-8c4d980d5a63,Al-Fayoum,Al Fayoum,Orange Tamia Sector,29.47427641,30.9549612,Withdrawal
